"CCA","Ind.Count.Total","Ind.Count.Total.5..","Ind.Count.Total.95..","HH.Count.Total","HH.Count.Total.5..","HH.Count.Total.95..","Ind25.Count.Total","Ind25.Count.Total.5..","Ind25.Count.Total.95..","LF.Count.Total","LF.Count.Total.5..","LF.Count.Total.95..","Ind.Count.White","Ind.Count.White.5..","Ind.Count.White.95..","Ind.Count.BlackAA","Ind.Count.BlackAA.5..","Ind.Count.BlackAA.95..","Ind.Count.Hispanic","Ind.Count.Hispanic.5..","Ind.Count.Hispanic.95..","Ind.Count.100FPL","Ind.Count.100FPL.5..","Ind.Count.100FPL.95..","LF.Count.Employed","LF.Count.Employed.5..","LF.Count.Employed.95..","LF.Count.Unemployed","LF.Count.Unemployed.5..","LF.Count.Unemployed.95..","Ind25.Count.LessThanHS","Ind25.Count.LessThanHS.5..","Ind25.Count.LessThanHS.95..","Ind25.Count.HSGrad","Ind25.Count.HSGrad.5..","Ind25.Count.HSGrad.95..","Ind25.Count.Bachelors","Ind25.Count.Bachelors.5..","Ind25.Count.Bachelors.95.."
"BRIDGEPORT",33673.6271915961,29931.8662338108,37415.3881493815,33635.7422710956,29893.1751803781,37378.309361813,23445.3201642158,20960.9010811491,25929.7392472825,18576.4260872726,16295.9370022191,20856.9151723262,16326.2681348907,13248.6756729168,19403.8605968646,1030.82634497878,290.631623492703,1771.02106646487,9529.25835072883,6420.42124707385,12638.0954543838,33534.1051041713,29834.7957043567,37233.414503986,16539.9542792974,14346.7212177568,18733.1873408379,2036.47180797525,1124.66609899562,2948.27751695488,4935.52112378993,3442.71641579058,6428.32583178929,7142.0596239801,5317.42284428752,8966.69640367269,5773.00151182447,4377.85524327659,7168.14778037236
"BRIGHTON PARK",44454.4044243632,39436.4274859242,49472.3813628022,44024.5636240152,39036.4200464093,49012.7072016211,25856.8389692366,22976.6957221085,28736.9822163648,20208.3660562677,17385.8318124739,23030.9003000616,25655.8615525158,20441.9902869275,30869.732818104,1225.41528241971,213.429952768859,2237.40061207056,37601.2630034328,32399.1735645863,42803.3524422793,43850.5636240152,38884.4180888366,48816.7091591938,17710.5229075852,15136.9159227383,20284.1298924321,2497.84314868257,1418.84975200415,3576.83654536098,11436.3376038612,9100.40511263518,13772.2700950873,7743.13800653056,5936.26552248349,9550.01049057762,2247.61406449887,1274.91157657112,3220.31655242662
"BURNSIDE",2539.08678403174,2060.79312053056,3017.38044753291,2539.08678403174,2060.79312053056,3017.38044753291,1640.00991817506,1438.93135760109,1841.08847874902,1063.07785767419,839.54877820119,1286.60693714719,0,-10.7372046908427,10.7372046908427,2539.08678403174,2060.79312053056,3017.38044753291,0,-10.7372046908427,10.7372046908427,2539.08678403174,2060.79312053056,3017.38044753291,834.64790478552,625.760468072761,1043.53534149827,228.429952888669,122.034015497591,334.825890279746,348.502107612199,194.276803871004,502.727411353395,529.098437887429,380.729791250329,677.467084524528,139.596082320853,69.3161970717007,209.875967570005
"CALUMET HEIGHTS",13785.4941733316,12287.8930435729,15283.0953030902,13778.4941733316,12280.8930435729,15276.0953030902,10387.0484129785,9333.0586968098,11441.0381291472,6506.14421922877,5512.49231221012,7499.79612624743,533.119539628564,213.240075940561,852.999003316567,12974.610574064,11453.9366871569,14495.2844609711,442.159822129218,153.283354174239,731.036290084196,13779.4941733316,12282.8929545924,15276.0953920708,5409.1726549843,4475.81489035317,6342.53041961542,1096.97156424447,650.649750195832,1543.29337829311,1200.82172184111,624.391145732415,1777.2522979498,2503.17804654888,1805.00758650461,3201.34850659315,2842.93648372675,2102.78338748086,3583.08957997265
"CHATHAM",31448.3967499009,27436.1249149706,35460.6685848312,31401.3221033162,27390.0501794053,35412.594027227,21900.1662042542,19402.8198041289,24397.5126043795,14887.4285903026,12346.1458172767,17428.7113633284,410.298850574713,-39.9450041600963,860.542705309522,30519.3213106091,26471.0526789796,34567.5899422386,287.925617650945,-70.1174314574718,645.96866675936,31315.3967499009,27328.1226904562,35302.6708093456,11907.4563350509,9736.31977507406,14078.5928950277,2979.97225525168,1670.25223504433,4289.69227545903,2966.12128418549,1804.92550243994,4127.31706593105,6060.00475624257,4378.83978798395,7741.16972450119,4904.03355793368,3481.63681607846,6326.43029978889
"CHICAGO LAWN",55437.1486053222,49362.4892762974,61511.8079343471,55141.1486053222,49088.4873187247,61193.8098919197,31886.8558832959,28517.2459930946,35256.4657734972,25019.7465533825,21388.0113839931,28651.4817227719,9678.59971144598,6279.60465164038,13077.5947712516,26174.336646361,21908.230227528,30440.4430651941,26320.6630330234,21750.174434912,30891.1516311348,55023.2354921449,49075.3837309017,60971.0872533881,19681.5141070856,16630.3287502738,22732.6994638974,5338.23244629689,3603.53878586061,7072.92610673317,9820.82718820135,7555.8690768548,12085.7852995479,11369.2226675216,9015.30870178345,13723.1366332598,2727.47499198461,1486.70483555756,3968.24514841166
"CLEARING",24962,22768.1952233851,27155.8047766149,24952,22759.1951344045,27144.8048655955,16941,15410.1362292628,18471.8637707372,13210,11666.1373860103,14753.8626139897,17151,14746.2139982867,19555.7860017133,147,-55.9819369429477,349.981936942947,12361,10430.1718214934,14291.8281785066,24933,22747.1945115405,27118.8054884595,11917,10437.1316912534,13396.8683087466,1293,648.057392471915,1937.94260752808,2729,1741.08791280969,3716.91208719031,6749,5531.10837834232,7966.89162165768,2897,2020.07803596569,3773.92196403431
"DOUGLAS",19977.6362793793,17490.9854546339,22464.2871041247,17374.6362793793,15153.9617858005,19595.3107729581,13107.3201537679,11475.3231149489,14739.3171925869,9235.79575379821,7776.53943099686,10695.0520765996,2419.45368783275,1568.40218706657,3270.50518859893,14187.0812123967,12101.342887695,16272.8195370983,477.153053715968,140.904633858321,813.401473573615,17476.6362793793,15260.9613408976,19692.311217861,7846.00873641951,6573.13968988859,9118.87778295043,1389.7870173787,704.658530557763,2074.91550419963,1813.7585914167,1119.17567821679,2508.34150461661,2564.71569384928,1724.80364297669,3404.62774472187,5246.73811950829,3923.04353158843,6570.43270742815
"DUNNING",43025,39298.331630609,46751.668369391,42858,39179.3273595414,46536.6726404586,30942,28356.2301037711,33527.7698962289,23377,20640.2435398382,26113.7564601618,36409,32546.3437319674,40271.6562680326,1071,-198.886994667702,2340.8869946677,11448,8475.26453925426,14420.7354607457,42855,39177.3272705608,46532.6727294392,21689,19086.2316164409,24291.7683835591,1688,835.07590043185,2540.92409956815,4173,2750.12661936052,5595.87338063948,10096,8098.17778319208,12093.8222168079,7306,5547.15651683426,9064.84348316573
"EAST GARFIELD PARK",20617.0779971112,17553.7044778923,23680.4515163302,19778.0779971112,16774.6991390577,22781.4568551648,11784.2782859894,10201.3026384065,13367.2539335723,6960.84737602311,5494.24413623615,8427.45061581007,1142.98411169957,383.373807458734,1902.5944159404,18877.4877226769,15815.9354183768,21939.040026977,725.116514203178,63.4161297491861,1386.81689865717,20230.9407799711,17198.2328034172,23263.648756525,5588.93018777082,4343.79688823876,6834.06348730289,1371.91718825229,634.432502953042,2109.40187355153,2541.06403466538,1625.77379502876,3456.35427430201,4181.63023591719,3021.08112819043,5342.17934364395,1498.21376986038,834.650768297983,2161.77677142277
