"tractID","Ind.Count.Total","Ind.Count.Total.5..","Ind.Count.Total.95..","HH.Count.Total","HH.Count.Total.5..","HH.Count.Total.95..","Ind25.Count.Total","Ind25.Count.Total.5..","Ind25.Count.Total.95..","LF.Count.Total","LF.Count.Total.5..","LF.Count.Total.95..","Ind.Count.White","Ind.Count.White.5..","Ind.Count.White.95..","Ind.Count.BlackAA","Ind.Count.BlackAA.5..","Ind.Count.BlackAA.95..","Ind.Count.Hispanic","Ind.Count.Hispanic.5..","Ind.Count.Hispanic.95..","Ind.Count.100FPL","Ind.Count.100FPL.5..","Ind.Count.100FPL.95..","LF.Count.Employed","LF.Count.Employed.5..","LF.Count.Employed.95..","LF.Count.Unemployed","LF.Count.Unemployed.5..","LF.Count.Unemployed.95..","Ind25.Count.LessThanHS","Ind25.Count.LessThanHS.5..","Ind25.Count.LessThanHS.95..","Ind25.Count.HSGrad","Ind25.Count.HSGrad.5..","Ind25.Count.HSGrad.95..","Ind25.Count.Bachelors","Ind25.Count.Bachelors.5..","Ind25.Count.Bachelors.95.."
"804109",2927,2671.02277902761,3182.97722097239,2709,2488.01966470743,2929.98033529257,2308,2092.01921980455,2523.98078019545,1382,1202.01601650379,1561.98398349621,2320,2013.02731703702,2626.97268296298,206,75.0116564555363,336.988343544464,305,141.014592814565,468.985407185435,2812,2562.02224514415,3061.97775485585,1305,1125.01601650379,1484.98398349621,77,12.0057837374798,141.99421626252,202,55.0130801447621,348.986919855238,402,291.009876844004,512.990123155996,1054,889.014681795141,1218.98531820486
"804201",8053,7651.0357701918,8454.9642298082,7845,7444.03568121122,8245.96431878878,5692,5372.02847378452,6011.97152621548,3887,3582.02713907587,4191.97286092413,6270,5876.03505834719,6663.96494165281,52,17.0031143201815,86.9968856798185,302,127.015571600907,476.984428399093,7842,7448.03505834719,8235.96494165281,3625,3333.02598232837,3916.97401767163,262,134.011389513806,389.988610486194,167,88.0070294655524,245.992970534448,543,380.014503833988,705.985496166012,3977,3620.03176606585,4333.96823393415
"804202",7851,7450.03568121122,8251.96431878878,7851,7450.03568121122,8251.96431878878,5436,5117.02838480394,5754.97161519606,4164,3877.02553742549,4450.97446257451,6601,6189.03665999756,7012.96334000244,0,-14.9986652913508,14.9986652913508,555,315.021355338387,794.978644661613,7851,7450.03568121122,8251.96431878878,3980,3677.02696111471,4282.97303888529,184,89.0084531547782,278.991546845222,266,147.010588688617,384.989411311383,694,499.01735121244,888.98264878756,3038,2674.03238892989,3401.96761107011
"804305",7871,7298.0509858704,8443.9490141296,7866,7293.0509858704,8438.9490141296,5164,4719.03959635659,5608.96040364341,4686,4173.0456470358,5198.9543529642,4968,4423.04849441425,5512.95150558575,438,90.0309652406614,785.969034759339,2693,2332.03212198816,3053.96787801184,7726,7179.04867237541,8272.95132762459,4322,3810.04555805523,4833.95444194477,364,211.013614028222,516.986385971778,643,455.016728348403,830.983271651597,1879,1429.04004125948,2328.95995874052,1188,930.022956988766,1445.97704301123
"804306",5986,5512.04217679331,6459.95782320669,5986,5512.04217679331,6459.95782320669,3776,3470.02722805644,4081.97277194356,3280,2913.03265587162,3646.96734412838,3734,3136.05321038481,4331.94678961519,91,-11.9908350006089,193.990835000609,2753,2320.03852858967,3185.96147141033,5986,5512.04217679331,6459.95782320669,2920,2552.03274485219,3287.96725514781,360,245.010232766311,474.989767233689,808,622.01655038725,993.98344961275,1348,1143.01824101821,1552.98175898179,485,344.012546261302,625.987453738698
"804308",5097,4570.04689276387,5623.95310723613,5097,4570.04689276387,5623.95310723613,3978,3503.04226577389,4452.95773422611,3471,3006.04137596813,3935.95862403187,3043,2580.04119800697,3505.95880199303,94,4.00800825189518,183.991991748105,1009,523.043244560234,1494.95675543977,5097,4570.04689276387,5623.95310723613,3188,2706.04288863793,3669.95711136207,283,146.012190338996,419.987809661004,432,79.0314101435444,784.968589856456,957,727.020465532621,1186.97953446738,1578,1296.0250925226,1859.9749074774
"804309",3177,2869.0274060176,3484.9725939824,3079,2774.02713907587,3383.97286092413,1992,1810.01619446494,2173.98380553506,1499,1331.01494873687,1666.98505126313,1679,1375.02705009529,1982.97294990471,140,1.01236830014921,278.987631699851,1452,1200.02242310531,1703.97757689469,3099,2791.0274060176,3406.9725939824,1366,1188.01583854264,1543.98416145736,133,59.0065845626694,206.993415437331,474,328.012991164186,619.987008835815,563,444.010588688617,681.989411311383,355,256.008809077085,453.991190922915
"804310",9131,8637.04395640485,9624.95604359515,9131,8637.04395640485,9624.95604359515,6370,5992.03363465796,6747.96636534204,5413,5083.02936359028,5742.97063640972,5625,5035.0524985402,6214.9475014598,245,132.010054805157,357.989945194843,1941,1420.04635888042,2461.95364111958,9116,8621.04404538542,9610.95595461458,5045,4728.02820684279,5361.97179315721,368,245.010944610923,490.989055389077,619,399.019575726855,838.980424273145,1346,1042.02705009529,1649.97294990471,2898,2508.03470242488,3287.96529757512
"804311",8276,7552.06442193747,8999.93557806253,8276,7552.06442193747,8999.93557806253,5392,5029.03229994931,5754.96770005069,4270,3972.02651621183,4567.97348378817,4154,3402.06691339361,4905.93308660639,0,-14.9986652913508,14.9986652913508,1994,1252.06602358785,2735.93397641215,8276,7552.06442193747,8999.93557806253,3870,3556.02793990106,4183.97206009894,400,278.010855630347,521.989144369653,998,591.036215094682,1404.96378490532,929,653.024558639145,1204.97544136085,2472,2184.02562640606,2759.97437359394
"804403",6856,6261.05294344308,7450.94705655692,6856,6261.05294344308,7450.94705655692,4489,4174.02802888163,4803.97197111837,3683,3349.02971951259,4016.97028048741,4649,3954.06184150075,5343.93815849925,356,75.0250035420283,636.974996457972,3000,2392.05410019058,3607.94589980942,6856,6261.05294344308,7450.94705655692,3358,3058.02669417298,3657.97330582702,325,170.013791989375,479.986208010625,439,230.018596940512,647.981403059488,971,704.023757813956,1237.97624218604,1979,1689.02580436722,2268.97419563278
"804404",5485,4937.04876135598,6032.95123864402,5425,4889.04769358906,5960.95230641094,3439,3090.03105422124,3787.96894577876,2695,2385.02758397875,3004.97241602125,3084,2435.05774839422,3732.94225160578,83,12.0063176209395,153.99368237906,3244,2664.05160873444,3823.94839126556,5425,4889.04769358906,5960.95230641094,2469,2200.02393577511,2737.97606422489,226,120.009431941121,331.990568058879,761,563.017618154169,958.982381845831,826,615.018774901665,1036.98122509833,747,587.014236892258,906.985763107742
