"tractID","CCA","blocks","pop","HH","pctPop","pctHH"
"17031062900","LAKE VIEW",51,2891,1317,1,1
"17031063000","LAKE VIEW",36,1927,915,1,1
"17031063100","LAKE VIEW",12,623,251,1,1
"17031063200","LAKE VIEW",30,1453,535,0.95029431000654,0.933682373472949
"17031063200",NA,2,76,38,0.0497056899934598,0.0663176265270506
"17031063301","LAKE VIEW",9,556,255,1,1
"17031063302","LAKE VIEW",12,612,321,1,1
"17031063303","LAKE VIEW",9,516,208,1,1
"17031063400","LAKE VIEW",12,727,347,1,1
"17031070101","LINCOLN PARK",20,1210,548,1,1
"17031070102","LINCOLN PARK",10,342,129,1,1
"17031070103","LINCOLN PARK",5,316,132,1,1
"17031070200","LINCOLN PARK",27,1312,568,1,1
"17031070300","LINCOLN PARK",46,2568,1103,1,1
"17031070400","LINCOLN PARK",50,2498,1079,1,1
"17031070500","LINCOLN PARK",34,1891,803,1,1
"17031070600","LINCOLN PARK",40,2026,841,1,1
"17031070700","LINCOLN PARK",35,1768,803,1,1
"17031071000","LINCOLN PARK",42,3986,2329,1,1
"17031071100","LINCOLN PARK",47,1867,752,1,1
"17031071200","LINCOLN PARK",29,1844,871,1,1
"17031071300","LINCOLN PARK",31,2196,1026,1,1
"17031071400","LINCOLN PARK",26,1111,556,1,1
"17031071500","LINCOLN PARK",64,3467,1344,1,1
"17031071600","LINCOLN PARK",17,889,349,1,1
"17031071700","LINCOLN PARK",19,944,372,1,1
"17031071800","LINCOLN PARK",17,863,385,1,1
"17031080100","NEAR NORTH SIDE",46,2890,1615,1,1
"17031080201","NEAR NORTH SIDE",17,730,262,1,1
"17031080202","NEAR NORTH SIDE",13,828,371,1,1
"17031080300","NEAR NORTH SIDE",33,1890,742,1,1
"17031080400","NEAR NORTH SIDE",29,2027,997,1,1
"17031081000","NEAR NORTH SIDE",36,1699,784,1,1
"17031081100","NEAR NORTH SIDE",13,911,454,1,1
"17031081201","NEAR NORTH SIDE",24,1481,807,1,1
"17031081202","NEAR NORTH SIDE",17,624,230,1,1
"17031081300","NEAR NORTH SIDE",25,1120,453,1,1
"17031081401","NEAR NORTH SIDE",26,1435,559,1,1
"17031081402","NEAR NORTH SIDE",20,1345,637,1,1
"17031081403","LOOP",8,330,102,0.144230769230769,0.110990206746464
"17031081403","NEAR NORTH SIDE",41,1958,817,0.855769230769231,0.889009793253536
"17031081500","NEAR NORTH SIDE",37,2014,910,1,1
"17031081600","NEAR NORTH SIDE",16,1216,505,1,1
"17031081700","NEAR NORTH SIDE",67,3310,1545,1,1
"17031081800","NEAR NORTH SIDE",106,4566,1954,1,1
"17031081900","NEAR NORTH SIDE",12,658,327,1,1
"17031090100","EDISON PARK",114,7170,3560,1,1
"17031090200","EDISON PARK",148,8313,3580,1,1
"17031090300","EDISON PARK",40,2657,1294,1,1
"17031100100","NORWOOD PARK",159,9431,3773,1,1
"17031100200","NORWOOD PARK",156,9716,4278,1,1
"17031100300","NORWOOD PARK",136,9828,4591,1,1
"17031100400","NORWOOD PARK",49,2375,892,1,1
"17031100500","NORWOOD PARK",158,9069,3956,1,1
"17031100600","NORWOOD PARK",188,13374,6605,1,1
"17031100700","NORWOOD PARK",100,5393,2417,1,1
"17031110100","JEFFERSON PARK",123,7194,3297,1,1
"17031110200","JEFFERSON PARK",52,3704,1408,1,1
"17031110300","JEFFERSON PARK",144,10046,4664,1,1
"17031110400","JEFFERSON PARK",99,5764,2706,1,1
"17031110501","JEFFERSON PARK",97,6862,2709,1,1
"17031110502","JEFFERSON PARK",62,4893,2526,1,1
"17031120100","FOREST GLEN",104,7110,3689,1,1
"17031120200","FOREST GLEN",127,8108,3754,1,1
"17031120300","FOREST GLEN",169,7793,3128,1,1
"17031120400","FOREST GLEN",82,4839,2133,1,1
"17031130100","NORTH PARK",108,6727,2992,1,1
"17031130200","NORTH PARK",42,2337,959,1,1
"17031130300","NORTH PARK",77,5186,2424,1,1
"17031140100","ALBANY PARK",24,1238,564,1,1
"17031140200","ALBANY PARK",48,2654,1153,1,1
"17031140301","ALBANY PARK",24,1132,439,1,1
"17031140302","ALBANY PARK",44,1852,726,1,1
"17031140400","ALBANY PARK",123,7098,3097,1,1
"17031140500","ALBANY PARK",64,2859,1137,1,1
"17031140601","ALBANY PARK",30,3793,2502,1,1
"17031140602","ALBANY PARK",41,2119,885,1,1
