BLOCK,TRACT,CCA,TR_POP_RAT,TR_HH_RAT,TR_HU_RAT
170310102012016,17031010201,Rogers Park,0.012713178,0.011774259,0.011900714
170310102012031,17031010201,Rogers Park,0.012713178,0.013398295,0.011900714
170310102012010,17031010201,Rogers Park,0.005581395,0.004872107,0.004420265
170310102012013,17031010201,Rogers Park,0.005581395,0.007308161,0.006800408
170310102011003,17031010201,Rogers Park,0.011627907,0.013398295,0.011560694
170310102012036,17031010201,Rogers Park,0.03255814,0.032480715,0.030261816
170310102012007,17031010201,Rogers Park,0,0,0
170310102012019,17031010201,Rogers Park,0.005426357,0.009744214,0.009860592
170310102012037,17031010201,Rogers Park,0.008682171,0.005278116,0.004760286
170310102012023,17031010201,Rogers Park,0.012248062,0.010150223,0.011900714
170310102012029,17031010201,Rogers Park,0.002325581,0.002842063,0.002380143
170310102013002,17031010201,Rogers Park,0.008062016,0.004872107,0.005780347
170310102012038,17031010201,Rogers Park,0.020930233,0.01908242,0.018021081
170310102013006,17031010201,Rogers Park,0.001550388,0.000812018,0.000680041
170310102011007,17031010201,Rogers Park,0.036744186,0.047097036,0.041142469
170310102011012,17031010201,Rogers Park,0.009612403,0.008120179,0.010880653
170310102012009,17031010201,Rogers Park,0.013333333,0.018270402,0.022441346
170310102012011,17031010201,Rogers Park,0.006976744,0.006090134,0.005780347
170310102013008,17031010201,Rogers Park,0.010697674,0.01136825,0.010880653
170310102021003,17031010202,Rogers Park,0,0,0.001642036
170310102021005,17031010202,Rogers Park,0.061745919,0.040358744,0.038587849
170310102021013,17031010202,Rogers Park,0.007097232,0.014349776,0.014778325
170310102022009,17031010202,Rogers Park,0.043293116,0.040358744,0.037766831
170310102021009,17031010202,Rogers Park,0.046841732,0.071748879,0.069786535
170310102021010,17031010202,Rogers Park,0,0,0
170310102021000,17031010202,Rogers Park,0.021646558,0.029596413,0.032019704
170310102022006,17031010202,Rogers Park,0.045777147,0.052914798,0.054187192
170310102021011,17031010202,Rogers Park,0.001774308,0.000896861,0.000821018
170310102022008,17031010202,Rogers Park,0.029808375,0.027802691,0.026272578
170310102022001,17031010202,Rogers Park,0.027679205,0.0367713,0.035303777
170310102022010,17031010202,Rogers Park,0.059616749,0.055605381,0.057471264
170310102022005,17031010202,Rogers Park,0.072746629,0.04573991,0.04679803
170310102022003,17031010202,Rogers Park,0.024130589,0.021524664,0.027914614
170310102021002,17031010202,Rogers Park,0,0,0
170310102021004,17031010202,Rogers Park,0.144073811,0.060089686,0.0591133
170310102022004,17031010202,Rogers Park,0.077714691,0.078923767,0.082922824
170310102021001,17031010202,Rogers Park,0.068843151,0.126457399,0.124794745
170310102022002,17031010202,Rogers Park,0.000354862,0.000896861,0.000821018
170310102021012,17031010202,Rogers Park,0.046132009,0.048430493,0.045155993
170310102021007,17031010202,Rogers Park,0.045067424,0.055605381,0.058292282
170310102021006,17031010202,Rogers Park,0.005677786,0.008071749,0.007389163
170310102022000,17031010202,Rogers Park,0.011710433,0.012556054,0.013136289
170310102021008,17031010202,Rogers Park,0,0,0
170310102022007,17031010202,Rogers Park,0.158268275,0.171300448,0.165024631
170310103002012,17031010300,Rogers Park,0.037363695,0.010261854,0.009526736
170310103003000,17031010300,Rogers Park,0.103752405,0.152512385,0.151198525
170310103004003,17031010300,Rogers Park,0.005131495,0.003892427,0.003687769
170310103002011,17031010300,Rogers Park,0.031430404,0.04069356,0.038721573
170310103002003,17031010300,Rogers Park,0,0,0
170310103001000,17031010300,Rogers Park,0.042655548,0.057678698,0.081130916
170310103002013,17031010300,Rogers Park,0.023252085,0.020877565,0.018438844
170310103002006,17031010300,Rogers Park,0.00609365,0.004953999,0.004609711
170310103001003,17031010300,Rogers Park,0.015875561,0,0
170310103002016,17031010300,Rogers Park,0.014913406,0.018754423,0.022433927
170310103004006,17031010300,Rogers Park,0.010423348,0.010261854,0.00983405
170310103003007,17031010300,Rogers Park,0.040570879,0.038216561,0.035648433
170310103004011,17031010300,Rogers Park,0.017479153,0.021231423,0.020282729
170310103003005,17031010300,Rogers Park,0.031751123,0.000353857,0.000307314
170310103002005,17031010300,Rogers Park,0.021808852,0.012738854,0.011370621
170310103004000,17031010300,Rogers Park,0.013470173,0.013092711,0.012599877
170310103002007,17031010300,Rogers Park,0,0,0
170310103001002,17031010300,Rogers Park,0.004971135,0.005307856,0.004609711
170310103002008,17031010300,Rogers Park,0,0,0
170310103001004,17031010300,Rogers Park,0.018280949,0.027954706,0.027350953
170310103001006,17031010300,Rogers Park,0.025336754,0.032200991,0.031346036
170310103004001,17031010300,Rogers Park,0.029025016,0.035385704,0.034111862
170310103001001,17031010300,Rogers Park,0.007376523,0.007784855,0.007375538
170310103002014,17031010300,Rogers Park,0.014432328,0.014154282,0.013829133
170310103002004,17031010300,Rogers Park,0.023893521,0.023354565,0.022433927
170310103002001,17031010300,Rogers Park,0.013790892,0.018400566,0.017516902
170310103002010,17031010300,Rogers Park,0.014432328,0,0
170310103004008,17031010300,Rogers Park,0.007216164,0.008492569,0.007375538
170310103004004,17031010300,Rogers Park,0.035279025,0.027954706,0.028272895
170310103004013,17031010300,Rogers Park,0.01411161,0.008138712,0.007068224
170310103004009,17031010300,Rogers Park,0.002245029,0.00353857,0.003380455
170310103002000,17031010300,Rogers Park,0.044098781,0.064755839,0.060540873
170310103004014,17031010300,Rogers Park,0.020525978,0.029016277,0.029502151
170310103003006,17031010300,Rogers Park,0.006254009,0.009200283,0.009526736
170310103004012,17031010300,Rogers Park,0.013630532,0.012738854,0.013521819
170310103002002,17031010300,Rogers Park,0.025497114,0.022646851,0.021511985
170310103003004,17031010300,Rogers Park,0.008499038,0.011323425,0.00983405
170310103002009,17031010300,Rogers Park,0.029506094,0.010261854,0.010141364
170310103004010,17031010300,Rogers Park,0.017318794,0.018400566,0.019053473
170310103004007,17031010300,Rogers Park,0.043617704,0.036093418,0.035033805
170310103003002,17031010300,Rogers Park,0.035599743,0.039985846,0.039336202
170310103003003,17031010300,Rogers Park,0.027261065,0.026185421,0.026121696
170310103002017,17031010300,Rogers Park,0.000962155,0,0
170310103002015,17031010300,Rogers Park,0.047947402,0.041755131,0.046404425
170310103003001,17031010300,Rogers Park,0.010904426,0.018400566,0.016902274
170310103001007,17031010300,Rogers Park,0.022931366,0.020523708,0.018438844
170310103001005,17031010300,Rogers Park,0.014432328,0.013446568,0.012292563
170310103004002,17031010300,Rogers Park,0.004650417,0.007077141,0.007375538
170310103004005,17031010300,Rogers Park,0,0,0
170310104003011,17031010400,Rogers Park,0.060293534,0.086749285,0.090869753
170310104003015,17031010400,Rogers Park,0,0,0
170310104003010,17031010400,Rogers Park,0.025386751,0.036224976,0.035482475
170310104002006,17031010400,Rogers Park,0.024593415,0.030981888,0.028559065
170310104001003,17031010400,Rogers Park,0.060293534,0.082459485,0.083946344
170310104003008,17031010400,Rogers Park,0.032725109,0,0
170310104003004,17031010400,Rogers Park,0.039666799,0.059580553,0.060147122
170310104001001,17031010400,Rogers Park,0.027766759,0.028598665,0.028559065
170310104003012,17031010400,Rogers Park,0.00396668,0.003336511,0.003028992
170310104001004,17031010400,Rogers Park,0.049781833,0.069113441,0.073128516
170310104002001,17031010400,Rogers Park,0.028163427,0.034795043,0.035482475
170310104002000,17031010400,Rogers Park,0,0,0
170310104001000,17031010400,Rogers Park,0.026973423,0.035271687,0.035482475
170310104003005,17031010400,Rogers Park,0,0,0
170310104002002,17031010400,Rogers Park,0.023800079,0.037178265,0.037213328
170310104003003,17031010400,Rogers Park,0.053153511,0.030981888,0.028559065
170310104001002,17031010400,Rogers Park,0.088060294,0.132030505,0.131544786
170310104003006,17031010400,Rogers Park,0.161047203,0.052907531,0.050627434
170310104003013,17031010400,Rogers Park,0.005553352,0.006673022,0.007788836
170310104002004,17031010400,Rogers Park,0.040063467,0.052907531,0.051060147
170310104003014,17031010400,Rogers Park,0.107893693,0.054814109,0.054521852
170310104001006,17031010400,Rogers Park,0.036890123,0.047187798,0.046300303
170310104003009,17031010400,Rogers Park,0.043236811,0.05386082,0.054521852
170310104003001,17031010400,Rogers Park,0.00099167,0.001429933,0.001298139
170310104002005,17031010400,Rogers Park,0.026973423,0.030981888,0.031588057
170310104002003,17031010400,Rogers Park,0,0,0
170310104003007,17031010400,Rogers Park,0,0,0
170310104002007,17031010400,Rogers Park,0.021618405,0.023832221,0.022933795
170310104001005,17031010400,Rogers Park,0.000793336,0.001429933,0.001298139
170310104003002,17031010400,Rogers Park,0.010313368,0.006673022,0.006057984
170310105012005,17031010501,Rogers Park,0.14861892,0.109463585,0.101499423
170310105011003,17031010501,Rogers Park,0.070642875,0.073266463,0.071510957
170310105013001,17031010501,Rogers Park,0.029088242,0.024858264,0.024221453
